Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6, C7",0402,4,2.2uF,C96446 
"C3, C4, C5, C8, C9",0402,5,0.1uF, C14663 
"D1, D2",D_SOD-323,2,1N4148WS,C2128
J1,TestPoint_Pad_1.0x1.0mm_6pad,1,Conn_01x06_Pin,
J2,JST_GH_SM12B-GHS-TB_1x12-1MP_P1.25mm_Horizontal,1,SM12B-GHS-TB(LF)(SN),C265421
"K1, K2",Relay_DPDT_Omron_G6K-2P-Y,2,G6K-2P-Y,C80087
"R1, R10, R11, R12, R2, R7, R8, R9",0402,8,10K,C25804
R3,0402,1,137k,C23179
R6,0402,1,316k,C23179
U1,SOT-23-5,1,DS8242-33S5,C5884133
U2,SOT-23-5,1,DS8242-50S3,C5884139
U3,ESP-12E,1,ESP-12F,C82891
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,TBD62003AFWG,C114084
