Designator,Mid X,Mid Y,Rotation,Layer
C1,145.288,-89.888,90.0,top
C2,145.288,-87.122,270.0,top
C3,125.984,-90.678,270.0,top
C4,144.272,-89.888,270.0,top
C5,144.272,-87.122,90.0,top
C6,139.192,-85.979,270.0,top
C7,139.192,-88.519,90.0,top
C8,137.922,-85.979,270.0,top
C9,139.192,-90.424,270.0,top
D1,131.9125,-83.9675,180.0,top
D2,137.922,-83.947,180.0,top
J2,149.016508,-82.58,90.0,top
K1,134.4525,-81.4675,180.0,top
K2,141.9525,-81.4675,180.0,top
R1,125.984,-88.646,270.0,top
R10,127.0,-79.502,0.0,top
R11,137.942,-90.424,270.0,top
R12,137.922,-88.519,90.0,top
R2,125.984,-86.614,90.0,top
R3,140.589,-91.313,180.0,top
R6,143.129,-91.313,180.0,top
R7,127.0,-84.002,0.0,top
R8,127.0,-82.512,0.0,top
R9,127.0,-81.002,0.0,top
U1,141.732,-89.027,180.0,top
U2,141.732,-85.471,180.0,top
U3,112.27,-82.5,90.0,top
U5,131.842,-88.65,90.0,top
