Designator,Mid X,Mid Y,Rotation,Layer
C1,107.073965,-80.047089,0.0,top
C11,107.75,-73.231538,270.0,top
C12,120.677731,-78.134889,90.0,top
C2,125.072269,-77.096359,90.0,top
C3,106.774812,-73.236152,270.0,top
C4,107.028424,-75.156606,180.0,top
C5,120.184796,-75.514132,270.0,top
C8,119.75,-78.141185,90.0,top
C9,126.088855,-73.398238,270.0,top
D1,107.536545,-81.544666,0.0,top
D2,120.222008,-80.736723,270.0,top
D4,122.990863,-72.950964,0.0,top
J2,128.75,-82.5,90.0,top
K1,110.75,-87.75,0.0,top
K2,120.25,-87.75,0.0,top
L1,123.5,-79.5,180.0,top
R1,108.75,-73.25,270.0,top
R10,110.78661,-73.237696,90.0,top
R11,111.761798,-73.245386,90.0,top
R12,112.736986,-73.24231,90.0,top
R14,125.081355,-73.398238,90.0,top
R15,125.074612,-75.25,90.0,top
R2,117.612926,-73.240772,270.0,top
R4,115.66255,-73.246924,90.0,top
R5,118.588114,-73.25,90.0,top
R7,116.637738,-73.248462,90.0,top
R8,114.687362,-73.243848,90.0,top
R9,113.712174,-73.239234,90.0,top
U1,122.897715,-75.878026,270.0,top
U2,114.0,-78.25,270.0,top
U3,113.1,-82.5,270.0,bottom
Y1,107.267023,-77.616702,90.0,top
