Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0402,2,20pf,C1554
"C10, C3, C5, C6, C9",0402,5,0.1uF,C307331
"C11, C2, C7",0402,3,1uF,C52923
"D1, D2, D3",D_SOD-323,3,1N5819WS,C191023
J1,TestPoint_Pad_1.0x1.0mm_6pad,1,Conn_01x06_Pin,
J2,JST_GH_SM12B-GHS-TB_1x12-1MP_P1.25mm_Horizontal,1,SM12B-GHS-TB(LF)(SN),C265421
"K1, K2",Relay_DPDT_Omron_G6K-2F-Y,2,G6K-2F-Y,C2982926
"R1, R10, R11, R12, R2, R4, R5, R7, R8, R9",0402,10,10K,C25744
R13,0402,1,1M,C26083
R3,0402,1,13.7k,C25854
R6,0402,1,316k,C25777
U1,SOT-23-5,1,DS8242-33S5,C5884133
U3,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U5,SOIC-16_3.9x9.9mm_P1.27mm,1,TBD62003AFWG,C114084
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.568khz,C32346
