Designator,Mid X,Mid Y,Rotation,Layer
C1,109.0,-79.25,90.0,top
C10,110.010435,-73.527882,270.0,top
C11,108.885308,-73.527882,270.0,top
C2,123.763038,-74.365857,0.0,top
C3,111.135562,-73.527882,90.0,top
C4,109.0,-75.5,90.0,top
C5,121.743038,-74.365857,0.0,top
C6,106.615054,-73.527882,270.0,top
C7,120.845,-79.54,180.0,top
C9,122.75,-79.54,0.0,top
D1,107.75,-81.25,0.0,top
D2,121.666,-81.0,0.0,top
D3,124.165576,-76.461578,90.0,top
J1,121.158,-75.92,270.0,bottom
J2,128.27,-82.5,90.0,top
K1,110.896,-87.122,0.0,top
K2,120.396,-87.122,0.0,top
R1,124.720451,-80.941994,270.0,top
R10,114.560943,-73.527882,90.0,top
R11,112.270689,-73.527882,90.0,top
R12,113.415816,-73.527882,90.0,top
R13,109.0,-77.5,270.0,top
R2,123.757913,-80.941994,270.0,top
R3,120.286589,-73.527882,270.0,top
R4,116.851197,-73.527882,90.0,top
R5,107.750181,-73.527882,90.0,top
R6,123.769175,-73.150701,180.0,top
R7,119.141451,-73.527882,90.0,top
R8,117.996324,-73.527882,90.0,top
R9,115.70607,-73.527882,90.0,top
U1,121.75,-77.0,270.0,top
U3,113.1,-82.5,270.0,bottom
U5,114.75,-78.25,270.0,top
Y1,107.25,-77.25,90.0,top
