pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
107.073965,-80.047089,0.0,top,C1,0402CG200J500NT,,C_0402_1005Metric,20pf,smt
107.75,-73.231538,-90.0,top,C11,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
120.677731,-78.134889,90.0,top,C12,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
125.072269,-77.096359,90.0,top,C2,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
106.774812,-73.236152,-90.0,top,C3,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
107.028424,-75.156606,180.0,top,C4,0402CG200J500NT,,C_0402_1005Metric,20pf,smt
120.184796,-75.514132,-90.0,top,C5,GRM21BR6YA106KE43L,,C_0805_2012Metric,10uF,smt
119.75,-78.141185,90.0,top,C8,GRM155R60J226ME11D,,C_0402_1005Metric,22uf,smt
126.088855,-73.398238,-90.0,top,C9,GRM155R71H104KE14D,,C_0402_1005Metric,0.1uF,smt
107.536545,-81.544666,0.0,top,D1,1N5819WS,,D_SOD-323,1N5819WS,smt
120.222008,-80.736723,-90.0,top,D2,1N5819WS,,D_SOD-323,1N5819WS,smt
122.990863,-72.950964,0.0,top,D4,1N5819WS,,D_SOD-323,1N5819WS,smt
128.75,-82.5,90.0,top,J2,SM12B-GHS-TB(LF)(SN),,JST_GH_SM12B-GHS-TB_1x12-1MP_P1.25mm_Horizontal,SM12B-GHS-TB(LF)(SN),smt
110.75,-87.75,0.0,top,K1,G6K-2F-Y DC3,,Relay_DPDT_Omron_G6K-2F-Y,G6K-2F-Y,smt
120.25,-87.75,0.0,top,K2,G6K-2F-Y DC3,,Relay_DPDT_Omron_G6K-2F-Y,G6K-2F-Y,smt
123.5,-79.5,180.0,top,L1, LQM2HPN4R7MG0L,,L_1008_2520Metric,4.7uH,smt
108.75,-73.25,-90.0,top,R1,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
110.78661,-73.237696,90.0,top,R10,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
111.761798,-73.245386,90.0,top,R11,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
112.736986,-73.24231,90.0,top,R12,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
125.081355,-73.398238,90.0,top,R14,0402WGF1823TCE,,R_0402_1005Metric,182k,smt
125.074612,-75.25,90.0,top,R15,RC0402FR-0762KL,,R_0402_1005Metric,62k,smt
117.612926,-73.240772,-90.0,top,R2,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
115.66255,-73.246924,90.0,top,R4,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
118.588114,-73.25,90.0,top,R5,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
116.637738,-73.248462,90.0,top,R7,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
114.687362,-73.243848,90.0,top,R8,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
113.712174,-73.239234,90.0,top,R9,0402WGF1002TCE,,R_0402_1005Metric,10K,smt
122.897715,-75.878026,-90.0,top,U1,AP63201WU-7,,TSOT-23-6,AP63201WU,smt
114.0,-78.25,-90.0,top,U2,TBD62003AFWG,,SOIC-16_3.9x9.9mm_P1.27mm,TBD62003AFWG,smt
113.1,-82.5,-90.0,bottom,U3,ESP32-C3-WROOM-02-N4,,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,smt
107.267023,-77.616702,90.0,top,Y1,Q13FC13500004,,Crystal_SMD_3215-2Pin_3.2x1.5mm,32.768khz 3215 12.5pf,smt
